poem,Label,Poet
حَطَمتَ قُيودي حَطمَةً لَم تَدَع لَهابِساقَيَّ إِذ حَطَّمتَها مِن مُعَلَّقِلَعَمري لَئِن حَطَّمتَ قَيدي لَطالَمامَشَيتُ بِقَيدي راسِفاً غَيرَ مُطلَقِ,شجاعة,الشنفرى
فَقُل لِطَبيبِ الحُبِّ إِن كانَ صادِقاًبِأَيِّ الرُقى تَشفي الفُؤادَ المُتَيَّمافَقالَ الطَبيبُ الهَجرُ يَشفي مِنَ الهَوىوَلَن يَجمَعُ الهِجرانُ قَلباً مُقَسَّما,عتاب,الأخطل
وَإِن أَلقَها أَو يَجمَعِ اللَهُ بَينَنافَفيها شِفاءُ النَفسِ مِنّي وَداؤُها,حياة,الأخطل
فَلَو أَنَّ عَيناً مِن بُكاءٍ تَحَدَّرَتدَماً كانَ دَمعي إِذ رِدائِيَ ساتِرُهمَتى ما يَمُت عانيكِ يا لَيلِ تَعلَميمُصابَةَ ما يُسدي لِعانيكِ نائِرُه,اخلاق,الأخطل
فَلَستُ أَخافُ الناسَ ما دُمتَ سالِماًوَلَو أَجلَبَ الساعي عَلَيَّ بِحُسَّدي,غزل,الأخطل
أَرى كُلَّ حَيٍّ مَيِّتاً فَمُوَدِّعاًوَإِن عاشَ دَهراً لَم تَنُبهُ النَوائِبُ,رومنسية,الأخطل
وَالشَيبُ شَرُّ جَديدٍ أَنتَ لابِسُهُوَلَن تَرى خَلَقاً شَرّاً مِنَ الهَرَمِما مِن أَبٍ حَمَلَتهُ الأَرضُ نَعلَمُهُخَيرٌ بَنينَ وَلا خَيرٌ مِنَ الحَكَمِ,حكمة,الأخطل
فَما المَرءُ مَنفوعاً بِتَجريبِ واعِظٍإِذا لَم تَعِظهُ نَفسُهُ وَتَجارِبُهوَلا خَيرَ ما لَم يَنفَعِ الغُصنُ أَصلَهُوَإِن ماتَ لَم تَحزَن عَلَيهِ أَقارِبُه,رثاء,الأخطل
سَأَبكيكَ حَتّى تُنفِدَ العَينُ ماءَهاوَيَشفِيَ مِنّي الدَمعُ ما أَتَوَجَّعُ,اخلاق,الأخطل
لَقَد غادَروا في اللَحدِ مَن كانَ يَنتَميإِلى كُلِّ نَجمٍ في السَماءِ مُحَلِّقِثَوى حامِلُ الأَثقالِ عَن كُلِّ مُغرَمٍوَدامِغُ شَيطانِ الغَشومِ السَمَلَّقِ,رومنسية,الفرزدق
يُكَلِّفُني فُؤادي مِن هَواهُظَعائِنَ يَجتَزِعنَ عَلى رُماحِظَعائِنَ لَم يَدِنَّ مَعَ النَصارىوَلا يَدرينَ ما سَمكُ القَراحِ,مدح,الفرزدق
أَمسَت زِيارَتُنا عَلَيكَ بَعيدَةًفَسَقى بِلادَكِ ديمَةٌ مِدرارُتُروي الأَجارِعَ وَالأَعازِلَ كُلَّهاوَالنَعفَ حَيثُ تَقابَلُ الأَحجارُ,فراق,الفرزدق
قُل لِلجَبانِ إِذا تَأَخَّرَ سَرجُهُهَل أَنتَ مِن شَرَكِ المَنِيَّةِ ناجيفَتَعَلَّقَن بِبَناتِ نَعشٍ هارِباًأَو بِالبُحورِ وَشِدَّةِ الأَمواجِ,شوق,الفرزدق
وَإِذا رَأَيتَ وَلا مَحالَةَ زَلَّةفَعَلى أَخيكَ بِفَضلِ حِلمِكِ فَاِردُدِوَدَع التَذلُّلَ وَالتَخَشعَ تَبتَغيقربَ الَّذي إِن تدنُ مِنهُ يبعُد,حزن,الفرزدق
وَإِن الَّذي بَيني وَبَين بَني أَبيوَبَينَ بَني عَمّي لَمُختَلِفُ جِدّاأَراهُم إِلى نَصري بِطاءً وَإِن هُمُدَعَوني إِلى نَصرٍ أَتيتُهُم شَدّا,شجاعة,الفرزدق
نَفسِي فِدَاءٌ رَسُولِ اللهِ قِلُّ لَهُمِنّي وَمِن بَعدِهِم أدنَى لِتَقلِيلِنَفسِي فِدَاءُ الذي لا الغَدرُ شِيمَتُهولا المَعَاذِيرُ من بُخلٍ وَتَقلِيلُ,حزن,الفرزدق
دع البكاء على ما فات مطلبهفالدهر يأتي بأنواع من العجبِفالشيء بالشيء فانظر في عواقبهمما إذا هو يوماً غاب لم يَؤُبِ,حكمة,الفرزدق
لا يَفقِدُ الناسُ خَيراً ما بَقيتَ لَناوَالجودُ وَالعَدلُ مَفقودانِ إِن فَقَدواحَتّى أُنيخَت لَدى خَيرِ الأَنامِ مَعاًمِن آلِ حَربٍ نَماهُ مَنصِبٌ حَتِدُ,عتاب,الفرزدق
تَذَكَّرتُ عَهداً كانَ بَيني وَبَينَهاقَديماً وَهَل أَبقَت لَنا الحَربُ مِن عَهدِفَما مُغزِلٌ أَدماءُ ريعَت فَأَقبَلَتبِسالِفَةٍ كَالسَيفِ سُلَّ مِنَ الغِمدِ,حزن,الفرزدق
اللَهُ يَدري وَما يَدري بِهِ أَحَدٌماذا أَجَمجَمُ مِن ذِكراكِ أَحيانايا أَكمَلَ الناسِ مِن قَرنٍ إِلى قَدَمٍوَأَحسَنَ الناسِ ذا ثَوبٍ وَعُريانا,رثاء,جرير
تُحَدِّثُني الأَحلامُ إِنّي أَراكُمُفَيا لَيتَ أَحلامَ المَنامِ يَقينُشَهِدتُ بِأَنّي لَم أُحِل عَن مَوَدَّةٍوَإِنّي بِكُم لَو تَعلَمينَ ضَنينُ,رومنسية,جرير
وَقُلتُ لِقَلبي حينَ لَجَّ بِيَ الهَوىوَكَلَّفَني ما لا يُطيقُ مِنَ الحُبِّأَلا أَيُّها القَلبُ الَّذي قادَهُ الهَوىأَفِق لا أَقَرَّ اللَهُ عَينَكَ مِن قَلبِ,شوق,جرير
وَبَينَ الحَشا وَالنَحرِ مِنّي حَرارَةٌوَلَوعَةُ وَجدٍ تَترُكُ القَلبَ ساهِياأَلا لَيتَ لُبنى لَم تَكُن لِيَ خُلَّةًوَلَم تَرَني لُبنى وَلَم أَدرِ ما هِيا,عتاب,جرير
وَتَنَفَّستُ إِذ ذَكَرتُكِ حَتّىزالَتِ اليَومَ عَن فُؤادي ضُلوعيأَتَناساكِ كَي يُريغَ فُؤاديزُمَّ يَشتَدُّ عِندَ ذاكَ وَلَوعي,تسامح,المقنع الكندي
ما كنت آمل أن أبقى وقد ذهبوالكن أبى دون ما أختار أقدارإليكَ يا ربنا الشكوَى فأنتَ ترَىما حل بالدينِ والباغونَ فُجارُ,شجاعة,المقنع الكندي
إِنِّي اِعتَصَمتُ بِمَن وَقاني شَرَّهافَإِنِ اِبتَغاها ما لَها مِن واقِأَبَني هَمُشكٍ إِنَّ إِبراهيمَكُممُحيي العُفاةِ وَقاتِلُ الإِملاقِ,دينية,الكميت بن زيد
والراح ترحم كل هم طالعبكواكب أفلاكها الراحاتقابلت بالساقي السماء فاطلعتبدراً على كأنها مرآت,أمل,الكميت بن زيد
يَبلَى الزَّمانُ وَأَشواقي مُجَدَّدَةٌتَجولُ مِنِّي مَجالَ السَّمعِ وَالبَصَرِوَلَو سَمَحتِ بِلُقيا الطَّيفِ عِشتُ بِهِدَهراً وَإِن هِمتُ بَعدَ العَينِ بِالأَثَرِ,حزن,الراعي النميري
والجأ إليه إذا عَرَتك ملمَّةيعصمك إيواء له ولجاءواعلمْ بأنّ الخيرَ في يده فماشاءَ الكريمُ به إليك يُجاءُ,شوق,الراعي النميري
وقلت لنفسي لا ترَاعي لأزمةٍفكمْ نفَس الرحمن كرباً وفرجاوميلي إلى الصبر الجميل فإنهلينصر من للصبر مال وعرجا,غزل,قيس بن ذريح
وَتيقَّني أَنّي بحبّكِ مُغرَمٌثُمَّ اِصنَعي ما شِئتِ بي أَن تَصنَعي,غزل,قيس بن ذريح
وَنَفسٌ إِذا هَبَّت جَنوب تَنَفَّسَتتَحِنُّ اِشتِياقاً لَو شَفاها حَنينُهافبالشرف الا عَلى هَواها وَشُكرِهانَدى شَرفِ الدين بنِ عصرون دينُه,غزل,قيس بن ذريح
يا مَن يُصَوِّرُ كُلَّ شَىء هَيِّنإِلّا تَعتُّبُهُ عَليَّ وَصَدُّهُوَلَئِن وَفا إِن خُنتُ دَمعي مُسعداًفَلمِثل هَذا اليَوم كُنتُ أُعِدُّهُ,غزل,قيس بن ذريح
أَكذبٌ في المَديحِ وَفي العَطايالَعمرِكَ ذاكَ خُسرانٌ كَبيرُوَلَيتَكَ لَم تَجِد فَعَقلتُ شِعريإِلى مَن عِندَهُ الخَيرُ الكَثيرُ,غزل,قيس بن ذريح
أحبّةَ قلبي والمَحَبّةُ شافعيلدَيكم إذا شئْتُمْ بها اتّصل الحبلعسى عَطْفَةٌ منكُمْ عليّ بنظرةٍفقد تعبَتْ بيني وبينَكُمْ الرُّسُلُ,عتاب,أبن أبي اليسر
ويا حُسنَ صبري في رِضَى مَن أحبُّهاتجمّلْ وكُنْ للدَّهرِ بي غيرَ مُشمِتويا جَلَدي في جَنبِ طاعةِ حبِّهاتحَمَّلْ عداكَ الكَلُّ كُلَّ عظيمة,عتاب,ابن أبي عيسى
فغَرامي القديمُ فيكُمْ غراميووِدادي كما عَهِدْتُمْ وِدَادِيقد سَكَنْتُمْ منَ الفُؤادِ سُوَيْدَاهُ ومنْ مُقْلَتي سواءَ السّوادِ,أمل,ابن الأردخل
أتْعَبتَ نفسَكَ في نصيحَة مَن يَرىأنْ لا يرى الإِقبالَ والإِفلاحا,شوق,ابن البراق
يا قلبُ أنتَ وعدَتني في حُبّهمْصَبراً فحاذرْ أن تَضِيقَ وتَضجراإنَّ الغرامَ هوَ الحياةُ فمُتْ بِهِصَبّاً فحقّك أن تَموتَ وتُعذرا,دينية,ابن الجنان
يا راحِلاً وَجَميلُ الصَّبْرِ يَتْبَعُهُهَلْ من سبيلٍ إلى لُقْياكَ يَتَّفِقُما أنصَفَتْكَ جُفوني وهيَ دامِيَةٌولا وَفى لكَ قلبي وهو يحترِقُ,دينية,ابن الجنان
فيا موتُ ما أعدمتني من مسرةٍومن صاحبٍ أمسى يضرُّ وينفعفلا الدمعُ يرقا لا ولا الصبر يرعوي ولا القلب يسلو لا ولا العين تهجعوما هذه الدنيا وأن راق حسنُهاسوى غادرٍ في غدره مصتنّع,غزل,ابن الدهان
مالي وأحداث الزمان وصرفهبليتْ بجور حوادثٍ وصروفِسلبتنيَ الأخوانَ حتى أنفقتمنهم ذخيرة تالدي وطريقي,شوق,ابن الدهان
وأظلم البعدُ فالأشواق واضحةوفي ظلام الليالي تظهرَ الشُّهبضحكتمُ لبكائي يومَ بينكمُضحكَ الأقاحيِّ إذ تبكي لها السّحب,حزن,ابن الدهان
لا ذاقَ قلبي من طلولك سلوةًفهو الذي أغناكِ عن مغناكلولاه ما أضرمتُ نارَ جوانحيونحرتُ حمر مدامعي لقراك,عتاب,ابن الدهان
فلو كنتَ إذ أبكي ويبسم ثغرهتعجَّبت من مثلينِ دمعي وعقدهوتاللهِ ما أبكى ويبسم ثغرهولكنني أبكي لرَّقة خدّه,غزل,ابن الفارض
فكن ما عشت مُبْيَضَّ الثيابوأَسلمني الزّمانُ إِلى أُناسٍإِذا عُدُّوا فليسوا من صِحابيرَقُوا ظُلماً وأَنفسُهم ترامت,غزل,ابن الفارض
أَطِعْ في حبيبك غِشّ الهوىوعاصِ العذول إِذا ما نصح,رومنسية,ابن الفارض
عِلماً بأَنَّ العِلمَ خَيرُ مَا سُعِيفِيهِ وأولَى مَالَهُ العَبدُ دُعِيوَأنَّ هذَا العِلمَ مَخصُوصٌ بِمَاقَد شَاعَ فِيه عِندَ كُلِّ العُلَمَا,عتاب,ابن الفارض
بنفسي حبيبٌ لا يملّ قطيعتيعلى أنَّه ما كان فهو حبيبُأَتَت نُوَبُ الأيام بيني وبينَهوحالت عوادٍ دونَهُ وخطوبُ,غزل,ابن الفارض
يا من تغيَّرتِ الدنيا لِبُعدهمفكُلُّ رَحبٍ فسيحٍ ضَيِّقٌ حَرِجُاستودعُ الله عيشاً مرَّ لي بِكُمُيرتاحُ قلبي لذكراهُ ويبتهجُ,شوق,ابن الفارض
فَما كُلُّ مَن تَنأى بِهِ الدارُ غائِبٌوَلا كُلُّ مَن تَدنو بِهِ الدارُ حاضِرُ,حزن,ابن الساعاتي
يا ضَيعَةُ العُمرِ في قَومٍ تَخالُهُمُناساً وَلا غَيرَ أَثوابٍ عَلى صُوَرِلَو أَنَّ ذا الحِلمِ قَيساً حَلَّ بَينَهُمُلَوَدَّ مِنهُم ذَهابَ السَمعِ وَالبَصَرِ,حزن,ابن الساعاتي
إِنَّ النِساءَ كَأَشجارٍ نَبَتنَ مَعاًمِنها المِرارُ وَبَعضُ المُرِّ مَأكولُإِنَّ النِساءَ مَتى يَنهَينَ عَن خُلُقٍفَإِنَّهُ واجِبٌ لا بُدَّ مَفعولُ,شوق,ابن الساعاتي
يقولون صبراً واحتسب قلت طالماصبرت ولكن لا أرى الصبر ينفعفليت عطائي كان قُسِّم بينهموظلت بي الوجناء بالدوِّ تضبع,رومنسية,ابن الساعاتي
أقول وقد فاضت لعيني عَبرةأرى الأرض تبقى والأخلاّء تذهبأخلاءِ لو غير الحِمام أصابكمعتبت ولكن ما على الدهر مَعتب,غزل,ابن الساعاتي
إِذا المَرءُ لَم يَغشَ الكَريهَةَ أَوشَكَتحِبالُ الهُوَينا بِالفَتى أَن تَقَطَّعا,عتاب,ابن الفراش
فَما الناسُ إِلاّ ما رَأَوا وَتَحَدَّثواوَما العَجزُ إِلا أَن يُضاموا فَيَجلِسُوا,رومنسية,ابن الفراش
وَما كُنتُ إِلا مِثلَ قاطِعِ كَفِّهِبِكَفٍّ لَهُ أُخرى فَأَصبَحَ أَجذَمايَداهُ أَصابَت هَذِهِ حَتفَ هذهِفَلَم تَجِدِ الأُخرى عَلَيها مُقَدَّما,علم,ابن المتفننة
وَإِصلاحُ القَليلِ يَزيدُ فيهِوَلا يَبقَى الكَثيرُ مَعَ الفَسادِ,رومنسية,ابن المستوفي الإربلي
فَقَد عَجِبتُ وَما بِالدَهرِ مِن عَجَبٍأَنّى قُتِلتَ وَأَنتَ الحازِمُ البَطَلُ,رومنسية,ابن المستوفي الإربلي
وَلَلمَوتُ خَيرٌ لِلفَتى مِن حَياتِهِإِذا لَم يَثِب لِلأَمرِ إِلّا بِقائِدِفَعالِج جَسيماتِ الأُمورِ وَلا تَكُنهَبيتَ الفُؤادِ هَمُّهُ لِلوَسائِدِ,اخلاق,ابن المقرب العيوني
فَلا تَعِدي مَواعِدَ كاذِباتٍتَمُرُّ بِها رِياحُ الصَيفِ دونيفَإِنّي لَو تُخالِفُني شِماليخِلافَكِ ما وَصَلتُ بِها يَميني,عتاب,ابن المقرب العيوني
ظَلَلتُ أَوُدُّ العَينَ عَن عَبَراتِهاإِذا نَزَفَت كانَت سَريعاً جُمومُهاكَأَنّي أُقاسي مِن سَوابِقِ عَبرَةٍوَمِن لَيلَةٍ قَد ضافَ صَدري هُمومُها,شجاعة,الطفيل الغنوي
فَإِمّا أَن تَكونَ أَخي بِحَقٍّفَأَعرِفَ مِنكَ غَثّي مِن سَمينيوَإِلّا فَاِطَّرِحني وَاِتَّخِذنيعَدُوّاً أَتَّقيكَ وَتَتَّقيني,عتاب,الغطمش الضبي
وَمازالَ صَرفُ الدَهرِ يَوماً وَلَيلَةًيَكُرّانِ لي حَتّى مَشيتُ مُقَيَّدا,عتاب,الغطمش الضبي
خَلَطنا البُيوتَ بِالبُيوتِ فَأَصبَحوابَني عَمِّنا مَن يَرمِهِم يَرمِنا مَعا,عتاب,الكلحبة العرني
لا تحسبني محجلاً سبط الــساقين أبكي أن يظلع الجملإني امرؤٌ من تنوخ ناصرهمحتملٌ في الحروب ما احتملوا,عتاب,المتلمس الضبعي
صحا قَلْبُهُ عنْها عَلى أنَّ ذِكْرَةًإذا خَطَرَتْ دارتْ به الأرضُ قائِماتبَصَّرْ خَلِيلي هل تَرى مِنْ ظَعائِنٍخَرَجْنَ سِراعاً واقْتَعَدْنَ المَفائِما,رثاء,المتلمس الضبعي
وقولا لها ليس الضلالُ أجازَناولكنّنا جُزنا لنلقاكمُ عَمداتخيّرتُ من نعمان عودَ أراكةٍفهندٍ فمن هذا يُبلِّغه هِندا,حكمة,المتلمس الضبعي
إذا ذكرَتْها النفسُ ظَلْتُ كأنَّنييُزعزعني قفقاف وِرْدٍ وصالبُهْأَغالِبُكَ القلبُ اللَّجوج صَبابَةًوشوقاً إلى أسماءَ أمْ أنتَ غالبُهْ,حياة,المتنخل
هَوِّن عَلَيكَ وَلا تَولَع بِإِشفاقفَإِنَّما مالُنا لِلوارِثِ الباقيكَأَنَّني قَد رَماني الدَّهرُ عَن عُرُضبِنافِذاتٍ بِلا ريشٍ وَأَفواقِ,عتاب,المثقب العبدي
بَخِلنا لِبُخلِك قَد تَعلَمينَفَكَيفَ يَلومُ بَخيلٌ بَخيلا,عتاب,المثقب العبدي
أَكرموا الضيفَ واحفظوا حُرمةَ الجارِ وكونوا مِمَّن أُحِبُّ قَريبا,حزن,المثقب العبدي
إِذا أَنا لَم أَنفَع خَليلي بِوُدِّهِفَإِنَّ عَدُوّي لا يَضُرَّهُمُ بَغضي,اخلاق,المثقب العبدي
وَلَستَ بِمُستَبقٍ أَخاً لا تَلُمَّهُعَلى شَعَثٍ أَيُّ الرِجالِ المُهَذَّبُفَإِن أَكُ مَظلوماً فَعَبدٌ ظَلَمتَهُوَإِن تَكُ ذا عُتبى فَمِثلُكَ يُعتِبُ,حياة,المثلم الفزاري
فَالرُفقُ يُمنٌ وَالأَناةُ سَعادَةٌفَتَأَنَّ في رِفقٍ تَنالُ نَجاحاوَاليَأسُ مِمّا فاتَ يُعقِبُ راحَةًوَلِرُبَّ مَطعَمَةٍ تَعودُ ذُباحا,شجاعة,المثلم المري
وَأَعجلنا قربُ الفراق وبينناحَديثٌ كَتنشيج المريضين مزعجُحَديثٌ لو اِنّ اللّحم يشوى بحرّهِطَريّاً أَتى أَصحابه وهو منضجُ,مدح,المثلم بن عمرو التنوخي
فَقالوا شفاء الحبّ حبٌّ يُزيلهُمِن آخر أو نأيٌ طويلٌ على هجرِأَو اليأس حتّى تذهل النفسُ بَعدمارَجت طَمعاً واليأس عونٌ على الصبرِ,شوق,المرقش الأصغر
